pLDDT	Calpha_RMSD	af2_design	successful
89.67740541825283	1.3984229275	1lvm_active_only-original	true
87.75706033020113	1.424503213	1lvm_active_only-T0.1-1	true
87.45501378941842	2.1619524938	1lvm_active_only-T0.1-2	false
87.34980105877072	1.5913213209	1lvm_active_only-T0.1-3	true
88.48754772308736	2.1368606403	1lvm_active_only-T0.1-4	false
87.78467314993114	1.8989906794	1lvm_active_only-T0.1-5	true
86.4810592663853	1.5625563138	1lvm_active_only-T0.1-6	true
88.24597058581566	1.7478585153	1lvm_active_only-T0.1-7	true
87.87239349201322	1.4548522928	1lvm_active_only-T0.1-8	true
87.09385631306986	1.5268374611	1lvm_active_only-T0.2-1	true
87.46141110332319	1.767699436	1lvm_active_only-T0.2-2	true
88.47196798502044	1.5407486575	1lvm_active_only-T0.2-3	true
88.4806686257369	1.2755655377	1lvm_active_only-T0.2-4	true
86.77961083340459	1.3824289657	1lvm_active_only-T0.2-5	true
87.54287361194643	1.8479783606	1lvm_active_only-T0.2-6	true
87.03601939904556	1.5346472007	1lvm_active_only-T0.2-7	true
86.62576195129314	2.2119043553	1lvm_active_only-T0.2-8	false
88.61830989741422	1.4920744609	1lvm_active_only-T0.3-1	true
89.1556419345948	1.7661758065	1lvm_active_only-T0.3-2	true
89.4294923463187	1.823246358	1lvm_active_only-T0.3-3	true
88.55350565804048	2.089793347	1lvm_active_only-T0.3-4	false
88.1082443303603	1.7025902061	1lvm_active_only-T0.3-5	true
87.5361920899937	1.6788117859	1lvm_active_only-T0.3-6	true
89.55020416829949	1.7828998569	1lvm_active_only-T0.3-7	true
88.61802766510073	1.5245392356	1lvm_active_only-T0.3-8	true
89.67740541825283	1.3984229275	1lvm_top30-original	true
88.77102805136487	1.3600030274	1lvm_top30-T0.1-1	true
88.20025395971119	1.5892740072	1lvm_top30-T0.1-2	true
87.72078489882713	1.4957055709	1lvm_top30-T0.1-3	true
87.92942799051846	1.4135267405	1lvm_top30-T0.1-4	true
88.4064093769401	1.5658644586	1lvm_top30-T0.1-5	true
88.25646996766675	1.7482894089	1lvm_top30-T0.1-6	true
87.99344223524979	1.402123328	1lvm_top30-T0.1-7	true
88.51441216904954	1.619593185	1lvm_top30-T0.1-8	true
87.66770486156592	1.4071988417	1lvm_top30-T0.2-1	true
88.33397628806027	1.3429628366	1lvm_top30-T0.2-2	true
87.26046723083685	1.4792406973	1lvm_top30-T0.2-3	true
87.8914180821976	1.5057407578	1lvm_top30-T0.2-4	true
87.10979353133399	1.4920362331	1lvm_top30-T0.2-5	true
88.20776213044024	1.4474662077	1lvm_top30-T0.2-6	true
88.46234186256446	1.4330186111	1lvm_top30-T0.2-7	true
89.12331722114428	1.857776594	1lvm_top30-T0.2-8	true
89.06963570273832	1.3899278706	1lvm_top30-T0.3-1	true
88.58279854871262	1.5333117237	1lvm_top30-T0.3-2	true
87.48587178391539	1.5685152738	1lvm_top30-T0.3-3	true
86.89026521204903	1.4591729334	1lvm_top30-T0.3-4	true
88.24146315324342	1.3807191442	1lvm_top30-T0.3-5	true
88.87713277900181	1.2769826735	1lvm_top30-T0.3-6	true
87.33422649878953	1.8116788001	1lvm_top30-T0.3-7	true
88.02307792677622	1.4955184987	1lvm_top30-T0.3-8	true
89.67740541825283	1.3984229275	1lvm_top50-original	true
87.48169802234075	1.7345577599	1lvm_top50-T0.1-1	true
88.1207673073821	1.5295408055	1lvm_top50-T0.1-10	true
88.09548667058709	1.5759910543	1lvm_top50-T0.1-11	true
87.68583263951844	1.506433812	1lvm_top50-T0.1-12	true
88.10131693563373	1.6381558103	1lvm_top50-T0.1-13	true
88.2484269163586	1.5986120748	1lvm_top50-T0.1-14	true
88.28904314306637	1.5215157419	1lvm_top50-T0.1-15	true
87.52168335319561	1.5816152945	1lvm_top50-T0.1-16	true
87.61064402386444	1.5876003476	1lvm_top50-T0.1-2	true
87.90372046068822	1.4720124424	1lvm_top50-T0.1-3	true
88.75281572836619	1.5753226075	1lvm_top50-T0.1-4	true
87.83270248022073	1.4910229283	1lvm_top50-T0.1-5	true
88.22080971137925	1.6011612993	1lvm_top50-T0.1-6	true
88.00422860690848	1.4312522466	1lvm_top50-T0.1-7	true
88.02777187329741	1.5846692925	1lvm_top50-T0.1-8	true
88.01911785252024	1.5770739708	1lvm_top50-T0.1-9	true
88.8686357460695	1.3683916208	1lvm_top50-T0.2-10	true
88.22428115437461	1.543026079	1lvm_top50-T0.2-11	true
87.82093860704613	1.6187503125	1lvm_top50-T0.2-12	true
87.97987828273547	1.5305944009	1lvm_top50-T0.2-13	true
87.8935839230923	1.6049499082	1lvm_top50-T0.2-14	true
88.1355836036223	1.5388080947	1lvm_top50-T0.2-15	true
88.44901033853226	1.5746298918	1lvm_top50-T0.2-16	true
